CK,Tran,San,TC,Giamua3,KLmua3,Giamua2,KLmua2,Giamua1,KLmua1,Giakhop,Khoiluongkhoplenh,Thaydoi,Phantramthaydoi,Giaban1,KLban1,Giaban2,KLban2,Giaban3,KLban3,TongKL,Caonhat,Thapnhat,DTNNmua,DTNNban,DTNNdu
UDC,6.46,5.62,6.04,5.82,200,5.83,"8,600",5.85,"1,000",6.1,300,0.06,1.0%,6.09,200,6.1,"5,300",6.12,"2,000","11,800",6.1,5.77,,,"15,612,440"
UIC,50.9,44.35,47.65,46.7,300,46.8,"1,000",46.9,100,47.65,500,0.00,0.0%,47.65,300,47.8,"1,000",48,500,700,47.65,46.7,300,200,"1,892,090"
VAF,11.55,10.05,10.8,,,10.1,500,10.15,300,10.8,200,0.00,0.0%,10.8,300,11.5,100,11.55,"1,100",200,10.8,10.8,,,"18,451,685"
VCA,14.7,12.8,13.75,13.5,"6,300",13.55,"3,600",13.6,"1,000",13.7,"1,000",-0.05,-0.4%,13.7,"1,300",13.75,"1,100",13.8,"6,200","10,800",13.85,13.6,,,"7,357,000"
VCB,106.3,92.5,99.4,97.9,"1,400",98,"69,500",98.1,"32,000",98.1,"53,600",-1.30,-1.3%,98.2,"3,200",98.3,"73,800",98.4,"54,000","1,114,400",99.8,98.1,"115,400","386,800","238,350,818"
VCF,252.5,219.5,236,237.1,100,237.2,600,238.5,100,237.1,100,1.10,0.5%,248,200,250,200,252,100,200,237.1,236,200,,"12,854,258"
VCG,45.35,39.45,42.4,42.3,"14,400",42.4,"11,100",42.5,"1,200",42.6,200,0.20,0.5%,42.6,"10,700",42.7,"7,100",42.8,"1,500","503,600",42.7,42.4,"7,800",,"210,629,302"
VCI,59.7,51.9,55.8,54.2,"42,500",54.3,"61,400",54.4,"1,300",54.4,"353,400",-1.40,-2.5%,54.5,"89,100",54.6,"41,900",54.7,"4,800","6,862,800",55.5,54.4,"14,800","391,800","264,131,655"
VDP,39.9,34.7,37.3,34.8,100,35.05,100,35.1,"1,400",,,,,37.25,"5,700",37.3,"2,800",37.35,200,,,,,,"7,824,099"
VDS,27.1,23.6,25.35,24.7,"4,400",24.75,"5,500",24.8,"22,300",24.85,"40,000",-0.50,-2.0%,24.85,"8,900",24.9,"1,300",25,"4,200","772,900",25.55,24.7,100,"27,900","99,080,956"
VGC,32.1,27.9,30,29.75,"12,200",29.8,"9,900",29.85,600,29.85,"5,900",-0.15,-0.5%,29.9,"1,200",29.95,600,30,800,"187,500",30.3,29.75,"8,200","21,000","194,411,968"
VHC,45.15,39.25,42.2,41.7,"30,400",41.75,"9,800",41.8,"4,700",41.8,"33,400",-0.40,-0.9%,41.85,"8,500",41.9,"68,600",41.95,"1,100","974,300",42.3,41.6,"1,500","69,100","142,164,834"
VHM,119.5,103.9,111.7,113.6,"35,200",113.7,"34,900",113.8,"28,500",113.9,"671,200",2.20,2.0%,113.9,"111,900",114,"125,700",114.1,"17,700","11,226,500",114.5,111.8,"70,000","183,300","886,813,575"
